ID,STAR,PERIOD,V_INTMEAN,BV_INTMEAN,EBV,V_AMPL,MV,DIST,Z,RV_MEAN,RADIUS BIN  1H?,NOTES
456,V367 Sct,6.29307,11.596,1.769,1.13,0.412,-3.52,2102,-30,-8.4,41.1,NGC6649 dblmode
457,AA Ser,17.1412,12.228,2.315,1.603,0.915,-4.78,2562,78,-44.3,,
458,BQ Ser,4.2709,9.501,1.399,0.841,0.261,-3.03,963,90,-14,31.8,dblmode
459,CR Ser,5.30141,10.842,1.644,1.011,0.752,-3.31,1598,78,5,,
460,DV Ser,23.0639,,,,,-5.16,,,,,
461,ST Tau,4.034299,8.217,0.847,0.355,0.778,-2.96,1036,-145,0.5,41.4,
462,SZ Tau,3.14838,6.531,0.844,0.294,0.33,-2.65,451,-145,0.3,38.6,NGC 1647
463,AE Tau,3.89645,11.679,1.129,0.604,0.689,-2.92,3510,-216,,,
464,AV Tau,3.61581,12.338,1.376,0.892,0.782,-2.82,3010,-49,,,
464.3,CN Tau,1.79329,12.719,,,0.366,-2.37,,,,s,NewP
465,EU Tau,2.10248,8.093,0.664,0.172,0.344,-2.58,1065,-99,-4.2,s,
466,R TrA,3.389287,6.66,0.722,0.127,0.561,-2.74,633,-85,-13.2,25.3,
467,S TrA,6.323465,6.397,0.752,0.1,0.768,-3.53,838,-120,3.9,39.2,
468,U TrA,2.568423,7.878,0.608,0.088,0.547,-2.39,998,-140,-13.1,,dblmode
468.5,LR TrA,2.455,7.808,0.781,0.281,0.137,-2.78,876,-116,,s,NewP
469,Alp UMi,3.9696,1.982,0.598,####,0.015,-3.39,119,53,-17.4,O    s,
470,T Vel,4.639819,8.024,0.922,0.281,0.617,-3.14,1144,-75,5.7,40,
471,V Vel,4.371043,7.589,0.788,0.209,0.689,-3.06,1001,-73,-27.9,32.8,
472,RY Vel,28.1357,8.397,1.352,0.562,0.98,-5.41,2588,67,-10.5,135.2,
473,RZ Vel,20.39824,7.079,1.12,0.335,1.181,-5,1615,-54,24.1,111.7,AssVelOB1
474,ST Vel,5.858425,9.704,1.195,0.503,0.663,-3.43,2065,-172,7.4,,
475,SV Vel,14.09707,8.524,1.054,0.392,1.028,-4.54,3282,136,3.5,,
476,SW Vel,23.441,8.12,1.162,0.349,1.23,-5.18,2777,-145,23,116.9,AssVelOB5
477,SX Vel,9.54993,8.251,0.888,0.25,0.784,-4.05,2022,-77,30.9,61,
478,XX Vel,6.98457,10.654,1.162,0.572,0.835,-3.65,3207,111,15,,
479,AB Vel,6.2456,,,,,-3.51,,,28.1,,
480,AE Vel,7.13357,10.262,1.243,0.667,0.867,-3.68,2371,-25,14.8,,
481,AH Vel,4.227231,5.695,0.579,0.074,0.327,-3.47,613,-74,24.2,s,
482,AP Vel,3.12776,10.017,0.991,0.515,0.872,-2.64,1630,-39,26.3,,dblmode
483,AX Vel,3.6731,8.197,0.691,0.224,0.503,-2.84,1171,-157,22.1,36.1,dblmode
484,BG Vel,6.923655,7.635,1.175,0.448,0.457,-4.11,1176,-53,7.9,s,
485,BH Vel,7.2008,,,,,-3.69,,,51.6,,
486,CO Vel,4.27536,,,,,-3.03,,,,,
487,CP Vel,9.84226,12.762,1.629,0.917,0.627,-4.08,6308,-352,73.9,,
488,CS Vel,5.90474,11.681,1.448,0.847,0.758,-3.44,3155,-42,26.8,43.1,Rup 79
489,CX Vel,6.255425,11.374,1.413,0.759,0.652,-3.51,3208,-188,16,,
490,DK Vel,2.48164,10.614,0.774,0.301,0.51,-2.79,3118,-146,,s,
491,DP Vel,5.48438,,,,,-3.35,,,29.8,O:,too fw pt
492,DR Vel,11.1993,9.52,1.518,0.685,0.708,-4.25,2135,50,20.6,88.6,
493,EX Vel,13.2341,11.562,1.561,0.814,0.783,-4.46,5009,-195,33.5,,
494,EZ Vel,34.5346,12.448,1.716,0.822,1.134,-5.67,####,-440,96.4,,
495,FG Vel,6.4532,11.814,1.493,0.851,0.559,-3.55,3509,-47,,,
496,FN Vel,5.32422,,,,,-3.31,,,,,
497,S Vul,68.464,8.962,1.892,0.827,0.588,-6.53,3852,56,-2,271.6,AssVulOB2
498,T Vul,4.435462,5.754,0.635,0.064,0.643,-3.08,533,-94,-0.9,38.2,IUE
499,U Vul,7.990629,7.128,1.275,0.654,0.718,-3.82,608,-3,-12.1,56.5   O,
500,X Vul,6.319543,8.849,1.389,0.848,0.769,-3.53,891,-20,-16.1,46.2,
501,SV Vul,44.994772,7.22,1.442,0.57,1.054,-6,1953,11,1.9,235.5  O,AssVulOB1
502,AS Vul,12.224726,12.251,1.923,1.245,0.919,-4.36,3551,78,,,
503,BR Vul,5.19717,10.687,1.474,0.911,0.813,-3.28,1693,-31,,,
504,DG Vul,13.60831,11.371,1.983,1.263,1.127,-4.49,2450,-39,2.6,,
505,GQ Vul,12.64387,13.65,2.236,1.642,1.057,-4.4,3879,18,,,
