ID,STAR,RA h,RA m,RA s,Dec d,Dec m,l,b
436,V706 Sco,17,44,56,-34,41,355.35,-3.47
437,V708 Sco,17,47,34,-34,34,355.73,-3.87
438,V742 Sco,17,49,2,-34,46,355.72,-4.23
438.5,V950 Sco,17,34,7,-40,47,349.03,-4.87
439,X Sct,18,28,30,-13,8,19,-1.57
440,Y Sct,18,35,19,-8,24,23.96,-0.86
441,Z Sct,18,40,17,-5,52,26.79,-0.77
442,RU Sct,18,39,18,-4,9,28.19,0.23
443,SS Sct,18,41,1,-7,46,25.17,-1.82
444,SU Sct,18,50,4,-12,34,21.92,-5.98
445,TY Sct,18,39,29,-4,20,28.05,0.11
446,UZ Sct,18,28,33,-12,57,19.16,-1.5
447,BX Sct,18,47,31,-4,25,28.9,-1.71
448,CK Sct,18,33,19,-6,9,26.31,-0.47
449,CM Sct,18,39,48,-5,23,27.16,-0.44
450,CN Sct,18,39,52,-4,22,28.06,0.01
451,EV Sct,18,33,57,-8,13,23.97,-0.47
452,EW Sct,18,35,9,-6,50,25.34,-0.09
453,FT Sct,18,41,59,-4,28,28.22,-0.5
454,NT Sct,18,51,24,-8,7,26.06,-4.25
455,PZ Sct,18,52,43,-10,32,24.03,-5.65
456,V367 Sct,18,30,50,-10,27,21.63,-0.83
457,AA Ser,18,38,46,-1,9,30.79,1.74
458,BQ Ser,18,33,47,4,21,35.13,5.37
459,CR Ser,18,7,13,-13,33,16.17,2.79
460,DV Ser,18,37,35,-2,25,29.53,1.41
461,ST Tau,5,42,13,13,33,193.12,-8.05
462,SZ Tau,4,34,20,18,26,179.48,-18.74
463,AE Tau,5,31,29,26,9,181.03,-3.52
464,AV Tau,5,42,38,27,3,181.61,-0.94
464.3,CN Tau,5,54,57,28,3,182.16,1.91
465,EU Tau,5,42,44,18,38,188.8,-5.32
466,R TrA,15,15,16,-66,18,316.98,-7.76
467,S TrA,15,56,40,-63,38,322.13,-8.22
468,U TrA,16,2,51,-62,46,323.23,-8.04
468.5,LR TrA,15,26,21,-65,26,318.43,-7.64
469,Alp UMi,1,48,49,89,1,123.28,26.46
470,T Vel,8,36,3,-47,11,265.55,-3.78
471,V Vel,9,20,45,-55,44,276.57,-4.2
472,RY Vel,10,18,48,-55,4,282.57,1.48
473,RZ Vel,8,35,18,-43,56,262.88,-1.91
474,ST Vel,8,43,23,-50,22,268.81,-4.79
475,SV Vel,10,42,56,-56,1,286,2.37
476,SW Vel,8,42,0,-47,13,266.2,-3
477,SX Vel,8,43,12,-46,9,265.49,-2.18
478,XX Vel,10,34,11,-55,46,284.81,1.99
479,AB Vel,10,18,1,-56,3,283.01,0.59
480,AE Vel,9,35,11,-52,48,276.1,-0.61
481,AH Vel,8,10,26,-46,29,262.44,-6.96
482,AP Vel,8,38,1,-43,41,262.98,-1.37
483,AX Vel,8,9,17,-47,32,263.23,-7.7
484,BG Vel,9,6,39,-51,14,271.86,-2.56
485,BH Vel,8,28,1,-41,3,259.77,-1.26
486,CO Vel,8,27,54,-40,10,259.04,-0.75
487,CP Vel,8,46,30,-48,28,267.64,-3.2
488,CS Vel,9,39,27,-53,35,277.09,-0.77
489,CX Vel,9,5,4,-52,9,272.37,-3.36
490,DK Vel,9,15,41,-52,52,274.01,-2.69
491,DP Vel,9,28,38,-52,50,275.39,-1.3
492,DR Vel,9,29,54,-49,26,273.22,1.33
493,EX Vel,9,18,25,-52,38,274.14,-2.23
494,EZ Vel,9,23,31,-52,59,274.93,-1.94
495,FG Vel,9,31,42,-52,32,275.52,-0.76
496,FN Vel,9,47,1,-55,17,279.03,-1.37
497,S Vul,19,46,21,27,9,63.45,0.83
498,T Vul,20,49,21,28,3,72.13,-10.15
499,U Vul,19,34,26,20,13,56.07,-0.29
500,X Vul,19,55,24,26,25,63.86,-1.28
501,SV Vul,19,49,28,27,19,63.95,0.32
502,AS Vul,19,45,44,27,46,63.91,1.26
503,BR Vul,19,44,27,22,45,59.44,-1.04
504,DG Vul,19,56,36,27,32,64.95,-0.92
505,GQ Vul,19,45,54,25,52,62.29,0.26
